model,fold,epochs,best_epoch,params,train_samples,val_samples,test_samples,test_groups,val_accuracy,val_balanced_accuracy,val_roc_auc,test_accuracy,test_balanced_accuracy,test_roc_auc,train_sec
xunet_lite,1,20,19,394946,816,144,240,120,0.7986111111111112,0.7986111111111112,0.9251543209876543,0.6875,0.6875,0.9285416666666666,20.85826029999589
xunet_lite,2,20,20,394946,816,144,240,120,0.8125,0.8125,0.9189814814814814,0.775,0.775,0.9194444444444444,20.67257759999484
xunet_lite,3,20,20,394946,816,144,240,120,0.8402777777777778,0.8402777777777777,0.9176311728395062,0.8333333333333334,0.8333333333333333,0.9346527777777777,20.849209500011057
xunet_lite,4,20,16,394946,816,144,240,120,0.8125,0.8125,0.9176311728395061,0.8291666666666667,0.8291666666666666,0.9283333333333333,20.711061499998323
xunet_lite,5,20,10,394946,816,144,240,120,0.8125,0.8125,0.9085648148148148,0.7875,0.7875,0.8768055555555555,20.829908699990483
srnet_tiny,1,20,20,3011394,816,144,240,120,0.6944444444444444,0.6944444444444444,0.8252314814814815,0.6833333333333333,0.6833333333333333,0.849375,74.3912954999978
srnet_tiny,2,20,13,3011394,816,144,240,120,0.6805555555555556,0.6805555555555556,0.7835648148148149,0.7166666666666667,0.7166666666666667,0.8145833333333332,74.4879598999978
srnet_tiny,3,20,13,3011394,816,144,240,120,0.7638888888888888,0.7638888888888888,0.8682484567901235,0.6833333333333333,0.6833333333333333,0.8049305555555556,74.28878259999328
srnet_tiny,4,20,17,3011394,816,144,240,120,0.7638888888888888,0.7638888888888888,0.8449074074074074,0.7416666666666667,0.7416666666666667,0.8266666666666667,74.39499789998808
srnet_tiny,5,20,18,3011394,816,144,240,120,0.7430555555555556,0.7430555555555556,0.8213734567901234,0.7166666666666667,0.7166666666666667,0.8010416666666667,74.315194099996
