Dataset,Image,PSNR,SSIM,TokMSE,TokMSE_JPEG
COCO,coco_000000000139.jpg,38.37859711422838,0.9924967885017395,0.012502342462539673,0.012342121452093124
COCO,coco_000000000285.jpg,38.71910469141038,0.9913578033447266,0.012114221230149269,0.012003323063254356
COCO,coco_000000000632.jpg,38.45536627483392,0.9925526976585388,0.016783371567726135,0.01652556285262108
COCO,coco_000000000724.jpg,38.79407106366658,0.9931166768074036,0.015560326166450977,0.015361479483544827
COCO,coco_000000000776.jpg,39.137429645915,0.9915412068367004,0.010934162884950638,0.010701656341552734
DIV2K,div2k_1.jpg,38.38193368093074,0.9903144836425781,0.006743009202182293,0.006645205430686474
DIV2K,div2k_2.jpg,38.32952397948574,0.991003692150116,0.010785969905555248,0.010666604153811932
DIV2K,div2k_3.jpg,38.99024331334651,0.99029141664505,0.008575976826250553,0.008500460535287857
DIV2K,div2k_4.jpg,38.71838667632481,0.9915196299552917,0.012512941844761372,0.012396134436130524
DIV2K,div2k_5.jpg,39.10736316688477,0.9924060702323914,0.01458723098039627,0.01448315940797329
CelebA,celeba_1.jpg,38.32505749877116,0.9904203414916992,0.007619605865329504,0.007520471233874559
CelebA,celeba_2.jpg,38.4446355009382,0.9914793968200684,0.010768696665763855,0.010714627802371979
CelebA,celeba_3.jpg,38.763384420628874,0.9927485585212708,0.010330281220376492,0.010111328214406967
CelebA,celeba_4.jpg,38.58488653955152,0.992826521396637,0.012358554638922215,0.012209903448820114
CelebA,celeba_5.jpg,38.43100489830988,0.9909088015556335,0.008949891664087772,0.00877829734236002
BOSSBase,boss_1.jpg,38.386187536679074,0.9906644225120544,0.007700122892856598,0.007597603369504213
BOSSBase,boss_2.jpg,39.33912423680027,0.9917943477630615,0.006426354870200157,0.006381905637681484
BOSSBase,boss_3.jpg,38.799870719121714,0.9930947422981262,0.015821723267436028,0.015592736192047596
BOSSBase,boss_4.jpg,38.72512732688618,0.9914569854736328,0.009461135603487492,0.009366560727357864
BOSSBase,boss_5.jpg,38.848097881963895,0.9909863471984863,0.011103808879852295,0.010954327881336212
