Dataset,Attack,CoverPSNR,TokenMSE,CosSim
COCO,Identity,40.47,0.373484,0.1123
COCO,JPEG Q75,40.47,0.373088,0.1124
COCO,JPEG Q50,40.47,0.372911,0.1123
COCO,Gaussian 0.02,40.47,0.373547,0.1118
COCO,Gaussian 0.05,40.47,0.372531,0.112
COCO,Resize 50%,40.47,0.372096,0.1117
COCO,Resize 75%,40.47,0.371714,0.1119
COCO,Median 3x3,40.47,0.372377,0.1125
COCO,Crop 80%,40.47,0.381513,0.1013
DIV2K,Identity,40.57,0.342507,0.1423
DIV2K,JPEG Q75,40.57,0.341344,0.144
DIV2K,JPEG Q50,40.57,0.342071,0.1445
DIV2K,Gaussian 0.02,40.57,0.342645,0.1421
DIV2K,Gaussian 0.05,40.57,0.342356,0.1418
DIV2K,Resize 50%,40.57,0.341814,0.1438
DIV2K,Resize 75%,40.57,0.341873,0.1439
DIV2K,Median 3x3,40.57,0.342213,0.1441
DIV2K,Crop 80%,40.57,0.346174,0.1434
CelebA,Identity,39.46,0.367284,0.1414
CelebA,JPEG Q75,39.46,0.367329,0.1428
CelebA,JPEG Q50,39.46,0.367428,0.1426
CelebA,Gaussian 0.02,39.46,0.367528,0.1412
CelebA,Gaussian 0.05,39.46,0.367273,0.141
CelebA,Resize 50%,39.46,0.369625,0.1416
CelebA,Resize 75%,39.46,0.369282,0.1415
CelebA,Median 3x3,39.46,0.368841,0.1439
CelebA,Crop 80%,39.46,0.364224,0.1458
BOSSBase,Identity,39.37,0.357548,0.1376
BOSSBase,JPEG Q75,39.37,0.356467,0.1385
BOSSBase,JPEG Q50,39.37,0.356625,0.1386
BOSSBase,Gaussian 0.02,39.37,0.357508,0.1378
BOSSBase,Gaussian 0.05,39.37,0.357944,0.1378
BOSSBase,Resize 50%,39.37,0.356466,0.1383
BOSSBase,Resize 75%,39.37,0.35659,0.138
BOSSBase,Median 3x3,39.37,0.356438,0.1383
BOSSBase,Crop 80%,39.37,0.354779,0.1366
COCO,Serial-2,0,0.371575,0.1118
COCO,Serial-3,0,0.37056,0.1122
