split,index,image_file,image_id,seed
train,0,000000161978.jpg,000000161978,42
train,1,000000216296.jpg,000000216296,42
train,2,000000570456.jpg,000000570456,42
train,3,000000176701.jpg,000000176701,42
train,4,000000541291.jpg,000000541291,42
train,5,000000113720.jpg,000000113720,42
train,6,000000049091.jpg,000000049091,42
train,7,000000042070.jpg,000000042070,42
train,8,000000032081.jpg,000000032081,42
train,9,000000084241.jpg,000000084241,42
train,10,000000461405.jpg,000000461405,42
train,11,000000156924.jpg,000000156924,42
train,12,000000138241.jpg,000000138241,42
train,13,000000213593.jpg,000000213593,42
train,14,000000482100.jpg,000000482100,42
train,15,000000482719.jpg,000000482719,42
train,16,000000147729.jpg,000000147729,42
train,17,000000365642.jpg,000000365642,42
train,18,000000203864.jpg,000000203864,42
train,19,000000565563.jpg,000000565563,42
train,20,000000257478.jpg,000000257478,42
train,21,000000568814.jpg,000000568814,42
train,22,000000016958.jpg,000000016958,42
train,23,000000345356.jpg,000000345356,42
train,24,000000525286.jpg,000000525286,42
train,25,000000128699.jpg,000000128699,42
train,26,000000527427.jpg,000000527427,42
train,27,000000313454.jpg,000000313454,42
train,28,000000094852.jpg,000000094852,42
train,29,000000097994.jpg,000000097994,42
train,30,000000189806.jpg,000000189806,42
train,31,000000523194.jpg,000000523194,42
train,32,000000270122.jpg,000000270122,42
train,33,000000167540.jpg,000000167540,42
train,34,000000451144.jpg,000000451144,42
train,35,000000370270.jpg,000000370270,42
train,36,000000119088.jpg,000000119088,42
train,37,000000041633.jpg,000000041633,42
train,38,000000001503.jpg,000000001503,42
train,39,000000127987.jpg,000000127987,42
train,40,000000286908.jpg,000000286908,42
train,41,000000321214.jpg,000000321214,42
train,42,000000508312.jpg,000000508312,42
train,43,000000453302.jpg,000000453302,42
train,44,000000157847.jpg,000000157847,42
train,45,000000081594.jpg,000000081594,42
train,46,000000221281.jpg,000000221281,42
train,47,000000474028.jpg,000000474028,42
train,48,000000267670.jpg,000000267670,42
train,49,000000110282.jpg,000000110282,42
train,50,000000073326.jpg,000000073326,42
train,51,000000462576.jpg,000000462576,42
train,52,000000213033.jpg,000000213033,42
train,53,000000015746.jpg,000000015746,42
train,54,000000334417.jpg,000000334417,42
train,55,000000190307.jpg,000000190307,42
train,56,000000055299.jpg,000000055299,42
train,57,000000553731.jpg,000000553731,42
train,58,000000302990.jpg,000000302990,42
train,59,000000140556.jpg,000000140556,42
train,60,000000139077.jpg,000000139077,42
train,61,000000568290.jpg,000000568290,42
train,62,000000547886.jpg,000000547886,42
train,63,000000412887.jpg,000000412887,42
train,64,000000532493.jpg,000000532493,42
train,65,000000201418.jpg,000000201418,42
train,66,000000446574.jpg,000000446574,42
train,67,000000520531.jpg,000000520531,42
train,68,000000001675.jpg,000000001675,42
train,69,000000246968.jpg,000000246968,42
train,70,000000302760.jpg,000000302760,42
train,71,000000297396.jpg,000000297396,42
train,72,000000545407.jpg,000000545407,42
train,73,000000199055.jpg,000000199055,42
train,74,000000168593.jpg,000000168593,42
train,75,000000490515.jpg,000000490515,42
train,76,000000515266.jpg,000000515266,42
train,77,000000554595.jpg,000000554595,42
train,78,000000438226.jpg,000000438226,42
train,79,000000140929.jpg,000000140929,42
train,80,000000185599.jpg,000000185599,42
train,81,000000024610.jpg,000000024610,42
train,82,000000283070.jpg,000000283070,42
train,83,000000564091.jpg,000000564091,42
train,84,000000361142.jpg,000000361142,42
train,85,000000184324.jpg,000000184324,42
train,86,000000336309.jpg,000000336309,42
train,87,000000242060.jpg,000000242060,42
train,88,000000555012.jpg,000000555012,42
train,89,000000096960.jpg,000000096960,42
train,90,000000147205.jpg,000000147205,42
train,91,000000100489.jpg,000000100489,42
train,92,000000327617.jpg,000000327617,42
train,93,000000092416.jpg,000000092416,42
train,94,000000129062.jpg,000000129062,42
train,95,000000289960.jpg,000000289960,42
train,96,000000323895.jpg,000000323895,42
train,97,000000132544.jpg,000000132544,42
train,98,000000229747.jpg,000000229747,42
train,99,000000237316.jpg,000000237316,42
train,100,000000133567.jpg,000000133567,42
train,101,000000468954.jpg,000000468954,42
train,102,000000344816.jpg,000000344816,42
train,103,000000442463.jpg,000000442463,42
train,104,000000035682.jpg,000000035682,42
train,105,000000245513.jpg,000000245513,42
train,106,000000062554.jpg,000000062554,42
train,107,000000492077.jpg,000000492077,42
train,108,000000415716.jpg,000000415716,42
train,109,000000568439.jpg,000000568439,42
train,110,000000534394.jpg,000000534394,42
train,111,000000031749.jpg,000000031749,42
train,112,000000257896.jpg,000000257896,42
train,113,000000287527.jpg,000000287527,42
train,114,000000330554.jpg,000000330554,42
train,115,000000134882.jpg,000000134882,42
train,116,000000347174.jpg,000000347174,42
train,117,000000335954.jpg,000000335954,42
train,118,000000168458.jpg,000000168458,42
train,119,000000476810.jpg,000000476810,42
train,120,000000457559.jpg,000000457559,42
train,121,000000417608.jpg,000000417608,42
train,122,000000189475.jpg,000000189475,42
train,123,000000008690.jpg,000000008690,42
train,124,000000249129.jpg,000000249129,42
train,125,000000455267.jpg,000000455267,42
train,126,000000158227.jpg,000000158227,42
train,127,000000102644.jpg,000000102644,42
train,128,000000108026.jpg,000000108026,42
train,129,000000529568.jpg,000000529568,42
train,130,000000090062.jpg,000000090062,42
train,131,000000125952.jpg,000000125952,42
train,132,000000226883.jpg,000000226883,42
train,133,000000370813.jpg,000000370813,42
train,134,000000122166.jpg,000000122166,42
train,135,000000172877.jpg,000000172877,42
train,136,000000262587.jpg,000000262587,42
train,137,000000577932.jpg,000000577932,42
train,138,000000120777.jpg,000000120777,42
train,139,000000426297.jpg,000000426297,42
train,140,000000240023.jpg,000000240023,42
train,141,000000352491.jpg,000000352491,42
train,142,000000304545.jpg,000000304545,42
train,143,000000105014.jpg,000000105014,42
train,144,000000565469.jpg,000000565469,42
train,145,000000100274.jpg,000000100274,42
train,146,000000018193.jpg,000000018193,42
train,147,000000509014.jpg,000000509014,42
train,148,000000163746.jpg,000000163746,42
train,149,000000215072.jpg,000000215072,42
train,150,000000286507.jpg,000000286507,42
train,151,000000226408.jpg,000000226408,42
train,152,000000341973.jpg,000000341973,42
train,153,000000163314.jpg,000000163314,42
train,154,000000044260.jpg,000000044260,42
train,155,000000128051.jpg,000000128051,42
train,156,000000157046.jpg,000000157046,42
train,157,000000261706.jpg,000000261706,42
train,158,000000173183.jpg,000000173183,42
train,159,000000410650.jpg,000000410650,42
train,160,000000281693.jpg,000000281693,42
train,161,000000177213.jpg,000000177213,42
train,162,000000316404.jpg,000000316404,42
train,163,000000239857.jpg,000000239857,42
train,164,000000380711.jpg,000000380711,42
train,165,000000136600.jpg,000000136600,42
train,166,000000082180.jpg,000000082180,42
train,167,000000026690.jpg,000000026690,42
train,168,000000424721.jpg,000000424721,42
train,169,000000049259.jpg,000000049259,42
train,170,000000290843.jpg,000000290843,42
train,171,000000476215.jpg,000000476215,42
train,172,000000079144.jpg,000000079144,42
train,173,000000323709.jpg,000000323709,42
train,174,000000335427.jpg,000000335427,42
train,175,000000083172.jpg,000000083172,42
train,176,000000525083.jpg,000000525083,42
train,177,000000357978.jpg,000000357978,42
train,178,000000127955.jpg,000000127955,42
train,179,000000441491.jpg,000000441491,42
train,180,000000376322.jpg,000000376322,42
train,181,000000080949.jpg,000000080949,42
train,182,000000189775.jpg,000000189775,42
train,183,000000417285.jpg,000000417285,42
train,184,000000483667.jpg,000000483667,42
train,185,000000475572.jpg,000000475572,42
train,186,000000055072.jpg,000000055072,42
train,187,000000492968.jpg,000000492968,42
train,188,000000378515.jpg,000000378515,42
train,189,000000191761.jpg,000000191761,42
train,190,000000451150.jpg,000000451150,42
train,191,000000505169.jpg,000000505169,42
train,192,000000179487.jpg,000000179487,42
train,193,000000482436.jpg,000000482436,42
train,194,000000235241.jpg,000000235241,42
train,195,000000426166.jpg,000000426166,42
train,196,000000039785.jpg,000000039785,42
train,197,000000556873.jpg,000000556873,42
train,198,000000460229.jpg,000000460229,42
train,199,000000045229.jpg,000000045229,42
train,200,000000460147.jpg,000000460147,42
train,201,000000016502.jpg,000000016502,42
train,202,000000509824.jpg,000000509824,42
train,203,000000121417.jpg,000000121417,42
train,204,000000020571.jpg,000000020571,42
train,205,000000366225.jpg,000000366225,42
train,206,000000000139.jpg,000000000139,42
train,207,000000340894.jpg,000000340894,42
train,208,000000338624.jpg,000000338624,42
train,209,000000553669.jpg,000000553669,42
train,210,000000445658.jpg,000000445658,42
train,211,000000312278.jpg,000000312278,42
train,212,000000392481.jpg,000000392481,42
train,213,000000145591.jpg,000000145591,42
train,214,000000445792.jpg,000000445792,42
train,215,000000349678.jpg,000000349678,42
train,216,000000512929.jpg,000000512929,42
train,217,000000233825.jpg,000000233825,42
train,218,000000108440.jpg,000000108440,42
train,219,000000067406.jpg,000000067406,42
train,220,000000366199.jpg,000000366199,42
train,221,000000575970.jpg,000000575970,42
train,222,000000002006.jpg,000000002006,42
train,223,000000173057.jpg,000000173057,42
train,224,000000015272.jpg,000000015272,42
train,225,000000032038.jpg,000000032038,42
train,226,000000177383.jpg,000000177383,42
train,227,000000012062.jpg,000000012062,42
train,228,000000351530.jpg,000000351530,42
train,229,000000067180.jpg,000000067180,42
train,230,000000571943.jpg,000000571943,42
train,231,000000038070.jpg,000000038070,42
train,232,000000127624.jpg,000000127624,42
train,233,000000152686.jpg,000000152686,42
train,234,000000130613.jpg,000000130613,42
train,235,000000561256.jpg,000000561256,42
train,236,000000025603.jpg,000000025603,42
train,237,000000496597.jpg,000000496597,42
train,238,000000007278.jpg,000000007278,42
train,239,000000479126.jpg,000000479126,42
train,240,000000006471.jpg,000000006471,42
train,241,000000411817.jpg,000000411817,42
train,242,000000405306.jpg,000000405306,42
train,243,000000544444.jpg,000000544444,42
train,244,000000089697.jpg,000000089697,42
train,245,000000004134.jpg,000000004134,42
train,246,000000332901.jpg,000000332901,42
train,247,000000403584.jpg,000000403584,42
train,248,000000102805.jpg,000000102805,42
train,249,000000036678.jpg,000000036678,42
train,250,000000579655.jpg,000000579655,42
train,251,000000581482.jpg,000000581482,42
train,252,000000140840.jpg,000000140840,42
train,253,000000438955.jpg,000000438955,42
train,254,000000335177.jpg,000000335177,42
train,255,000000172617.jpg,000000172617,42
train,256,000000248616.jpg,000000248616,42
train,257,000000509008.jpg,000000509008,42
train,258,000000492758.jpg,000000492758,42
train,259,000000314251.jpg,000000314251,42
train,260,000000165518.jpg,000000165518,42
train,261,000000213422.jpg,000000213422,42
train,262,000000022969.jpg,000000022969,42
train,263,000000508482.jpg,000000508482,42
train,264,000000312586.jpg,000000312586,42
train,265,000000047571.jpg,000000047571,42
train,266,000000154947.jpg,000000154947,42
train,267,000000531036.jpg,000000531036,42
train,268,000000013729.jpg,000000013729,42
train,269,000000002592.jpg,000000002592,42
train,270,000000407083.jpg,000000407083,42
train,271,000000023230.jpg,000000023230,42
train,272,000000197528.jpg,000000197528,42
train,273,000000243075.jpg,000000243075,42
train,274,000000342006.jpg,000000342006,42
train,275,000000520264.jpg,000000520264,42
train,276,000000330369.jpg,000000330369,42
train,277,000000269942.jpg,000000269942,42
train,278,000000158945.jpg,000000158945,42
train,279,000000140987.jpg,000000140987,42
train,280,000000180878.jpg,000000180878,42
train,281,000000146498.jpg,000000146498,42
train,282,000000326542.jpg,000000326542,42
train,283,000000533958.jpg,000000533958,42
train,284,000000541055.jpg,000000541055,42
train,285,000000348012.jpg,000000348012,42
train,286,000000002532.jpg,000000002532,42
train,287,000000135902.jpg,000000135902,42
train,288,000000324818.jpg,000000324818,42
train,289,000000423229.jpg,000000423229,42
train,290,000000516871.jpg,000000516871,42
train,291,000000462728.jpg,000000462728,42
train,292,000000265108.jpg,000000265108,42
train,293,000000124636.jpg,000000124636,42
train,294,000000314264.jpg,000000314264,42
train,295,000000097924.jpg,000000097924,42
train,296,000000212559.jpg,000000212559,42
train,297,000000406417.jpg,000000406417,42
train,298,000000271728.jpg,000000271728,42
train,299,000000048555.jpg,000000048555,42
eval,0,000000579070.jpg,000000579070,42
eval,1,000000005001.jpg,000000005001,42
eval,2,000000507235.jpg,000000507235,42
eval,3,000000399462.jpg,000000399462,42
eval,4,000000231508.jpg,000000231508,42
eval,5,000000433515.jpg,000000433515,42
eval,6,000000317024.jpg,000000317024,42
eval,7,000000416343.jpg,000000416343,42
eval,8,000000133969.jpg,000000133969,42
eval,9,000000183391.jpg,000000183391,42
eval,10,000000463618.jpg,000000463618,42
eval,11,000000043581.jpg,000000043581,42
eval,12,000000360943.jpg,000000360943,42
eval,13,000000206027.jpg,000000206027,42
eval,14,000000124277.jpg,000000124277,42
eval,15,000000098497.jpg,000000098497,42
eval,16,000000275198.jpg,000000275198,42
eval,17,000000368212.jpg,000000368212,42
eval,18,000000295809.jpg,000000295809,42
eval,19,000000411938.jpg,000000411938,42
eval,20,000000156076.jpg,000000156076,42
eval,21,000000163258.jpg,000000163258,42
eval,22,000000363875.jpg,000000363875,42
eval,23,000000482970.jpg,000000482970,42
eval,24,000000458790.jpg,000000458790,42
eval,25,000000061471.jpg,000000061471,42
eval,26,000000464476.jpg,000000464476,42
eval,27,000000399655.jpg,000000399655,42
eval,28,000000448810.jpg,000000448810,42
eval,29,000000365095.jpg,000000365095,42
eval,30,000000262631.jpg,000000262631,42
eval,31,000000170545.jpg,000000170545,42
eval,32,000000031735.jpg,000000031735,42
eval,33,000000005992.jpg,000000005992,42
eval,34,000000519338.jpg,000000519338,42
eval,35,000000354072.jpg,000000354072,42
eval,36,000000186282.jpg,000000186282,42
eval,37,000000255824.jpg,000000255824,42
eval,38,000000479099.jpg,000000479099,42
eval,39,000000533493.jpg,000000533493,42
eval,40,000000290768.jpg,000000290768,42
eval,41,000000193348.jpg,000000193348,42
eval,42,000000572555.jpg,000000572555,42
eval,43,000000572956.jpg,000000572956,42
eval,44,000000197658.jpg,000000197658,42
eval,45,000000084650.jpg,000000084650,42
eval,46,000000224119.jpg,000000224119,42
eval,47,000000137106.jpg,000000137106,42
eval,48,000000084170.jpg,000000084170,42
eval,49,000000344614.jpg,000000344614,42
eval,50,000000315187.jpg,000000315187,42
eval,51,000000314182.jpg,000000314182,42
eval,52,000000578500.jpg,000000578500,42
eval,53,000000010092.jpg,000000010092,42
eval,54,000000506656.jpg,000000506656,42
eval,55,000000516804.jpg,000000516804,42
eval,56,000000355677.jpg,000000355677,42
eval,57,000000540502.jpg,000000540502,42
eval,58,000000530457.jpg,000000530457,42
eval,59,000000369675.jpg,000000369675,42
eval,60,000000454798.jpg,000000454798,42
eval,61,000000295478.jpg,000000295478,42
eval,62,000000109992.jpg,000000109992,42
eval,63,000000137294.jpg,000000137294,42
eval,64,000000443303.jpg,000000443303,42
eval,65,000000500464.jpg,000000500464,42
eval,66,000000365521.jpg,000000365521,42
